,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
66,0.0,Sun Oct 07 04:29:13 +0000 2018,1.0,0.0,0.0,67,nytimes
67,0.0,Sun Oct 07 04:20:03 +0000 2018,1.0,0.0,0.0,68,nytimes
68,0.3919,Sun Oct 07 04:08:06 +0000 2018,0.888,0.0,0.112,69,nytimes
69,0.0,Sun Oct 07 03:55:33 +0000 2018,1.0,0.0,0.0,70,nytimes
70,0.802,Sun Oct 07 03:41:02 +0000 2018,0.687,0.0,0.313,71,nytimes
71,0.5106,Sun Oct 07 03:26:23 +0000 2018,0.864,0.0,0.136,72,nytimes
72,-0.7579,Sun Oct 07 03:11:03 +0000 2018,0.706,0.294,0.0,73,nytimes
73,-0.6705,Sun Oct 07 03:00:10 +0000 2018,0.757,0.243,0.0,74,nytimes
74,0.4767,Sun Oct 07 02:52:04 +0000 2018,0.744,0.0,0.256,75,nytimes
75,0.0,Sun Oct 07 02:43:01 +0000 2018,1.0,0.0,0.0,76,nytimes
76,0.0,Sun Oct 07 02:28:20 +0000 2018,1.0,0.0,0.0,77,nytimes
77,0.0,Sun Oct 07 02:12:04 +0000 2018,1.0,0.0,0.0,78,nytimes
78,-0.296,Sun Oct 07 02:00:06 +0000 2018,0.885,0.115,0.0,79,nytimes
79,0.7096,Sun Oct 07 01:30:54 +0000 2018,0.688,0.0,0.312,80,nytimes
80,0.0,Sun Oct 07 01:14:24 +0000 2018,1.0,0.0,0.0,81,nytimes
81,-0.6369,Sun Oct 07 01:00:12 +0000 2018,0.811,0.189,0.0,82,nytimes
82,0.0,Sun Oct 07 00:47:45 +0000 2018,1.0,0.0,0.0,83,nytimes
83,-0.7506,Sun Oct 07 00:31:03 +0000 2018,0.748,0.252,0.0,84,nytimes
84,-0.3818,Sun Oct 07 00:11:23 +0000 2018,0.663,0.217,0.12,85,nytimes
85,0.0,Sun Oct 07 00:07:49 +0000 2018,1.0,0.0,0.0,86,nytimes
86,0.0,Sun Oct 07 00:00:50 +0000 2018,1.0,0.0,0.0,87,nytimes
87,-0.5994,Sat Oct 06 23:45:05 +0000 2018,0.822,0.178,0.0,88,nytimes
88,-0.6249,Sat Oct 06 23:26:38 +0000 2018,0.662,0.338,0.0,89,nytimes
89,0.0,Sat Oct 06 23:15:09 +0000 2018,1.0,0.0,0.0,90,nytimes
90,0.0,Sat Oct 06 23:07:02 +0000 2018,1.0,0.0,0.0,91,nytimes
91,0.0,Sat Oct 06 22:45:04 +0000 2018,1.0,0.0,0.0,92,nytimes
92,0.0,Sat Oct 06 22:38:17 +0000 2018,1.0,0.0,0.0,93,nytimes
93,0.0,Sat Oct 06 22:31:40 +0000 2018,1.0,0.0,0.0,94,nytimes
94,0.4019,Sat Oct 06 22:26:21 +0000 2018,0.876,0.0,0.124,95,nytimes
95,0.2023,Sat Oct 06 21:51:01 +0000 2018,0.917,0.0,0.083,96,nytimes
96,0.0,Sat Oct 06 21:35:06 +0000 2018,1.0,0.0,0.0,97,nytimes
97,0.3612,Sat Oct 06 21:21:02 +0000 2018,0.865,0.0,0.135,98,nytimes
98,-0.6597,Sat Oct 06 21:05:05 +0000 2018,0.804,0.196,0.0,99,nytimes
99,0.6597,Sat Oct 06 20:35:10 +0000 2018,0.795,0.0,0.205,100,nytimes
