,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
67,0.7269,Sat Oct 06 21:13:47 +0000 2018,0.697,0.0,0.303,68,CNN
68,0.0,Sat Oct 06 20:47:55 +0000 2018,1.0,0.0,0.0,69,CNN
69,0.5719,Sat Oct 06 20:42:55 +0000 2018,0.824,0.0,0.176,70,CNN
70,0.0,Sat Oct 06 20:37:01 +0000 2018,1.0,0.0,0.0,71,CNN
71,0.296,Sat Oct 06 20:28:40 +0000 2018,0.522,0.194,0.284,72,CNN
72,0.5574,Sat Oct 06 20:12:33 +0000 2018,0.841,0.0,0.159,73,CNN
73,0.5574,Sat Oct 06 20:03:58 +0000 2018,0.783,0.0,0.217,74,CNN
74,0.0,Sat Oct 06 19:49:14 +0000 2018,1.0,0.0,0.0,75,CNN
75,-0.4019,Sat Oct 06 19:43:32 +0000 2018,0.747,0.162,0.091,76,CNN
76,0.0,Sat Oct 06 19:33:17 +0000 2018,1.0,0.0,0.0,77,CNN
77,0.6249,Sat Oct 06 19:25:07 +0000 2018,0.814,0.0,0.186,78,CNN
78,0.0,Sat Oct 06 19:07:24 +0000 2018,1.0,0.0,0.0,79,CNN
79,0.5574,Sat Oct 06 18:43:10 +0000 2018,0.816,0.0,0.184,80,CNN
80,0.0,Sat Oct 06 18:23:46 +0000 2018,1.0,0.0,0.0,81,CNN
81,-0.3384,Sat Oct 06 17:59:41 +0000 2018,0.888,0.112,0.0,82,CNN
82,0.0772,Sat Oct 06 17:35:39 +0000 2018,0.925,0.0,0.075,83,CNN
83,0.4019,Sat Oct 06 17:31:29 +0000 2018,0.766,0.081,0.153,84,CNN
84,-0.2263,Sat Oct 06 17:11:25 +0000 2018,0.853,0.147,0.0,85,CNN
85,-0.2263,Sat Oct 06 16:45:42 +0000 2018,0.909,0.091,0.0,86,CNN
86,-0.0274,Sat Oct 06 16:28:55 +0000 2018,0.737,0.111,0.152,87,CNN
87,0.0,Sat Oct 06 16:06:21 +0000 2018,1.0,0.0,0.0,88,CNN
88,0.8555,Sat Oct 06 15:50:46 +0000 2018,0.539,0.0,0.461,89,CNN
89,0.0,Sat Oct 06 15:30:14 +0000 2018,1.0,0.0,0.0,90,CNN
90,0.0,Sat Oct 06 15:11:44 +0000 2018,1.0,0.0,0.0,91,CNN
91,0.0,Sat Oct 06 15:00:47 +0000 2018,1.0,0.0,0.0,92,CNN
92,0.0,Sat Oct 06 14:50:14 +0000 2018,1.0,0.0,0.0,93,CNN
93,-0.4019,Sat Oct 06 14:38:57 +0000 2018,0.57,0.247,0.183,94,CNN
94,0.0,Sat Oct 06 14:30:04 +0000 2018,1.0,0.0,0.0,95,CNN
95,0.5574,Sat Oct 06 14:22:16 +0000 2018,0.854,0.0,0.146,96,CNN
96,-0.3384,Sat Oct 06 14:01:08 +0000 2018,0.888,0.112,0.0,97,CNN
97,-0.0258,Sat Oct 06 13:31:00 +0000 2018,0.642,0.209,0.15,98,CNN
98,0.5719,Sat Oct 06 13:30:09 +0000 2018,0.837,0.0,0.163,99,CNN
99,0.0,Sat Oct 06 13:00:06 +0000 2018,1.0,0.0,0.0,100,CNN
