,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
67,0.0,Wed Oct 03 17:59:01 +0000 2018,1.0,0.0,0.0,68,BBC
68,0.0,Wed Oct 03 17:03:42 +0000 2018,1.0,0.0,0.0,69,BBC
69,0.4404,Wed Oct 03 16:55:01 +0000 2018,0.861,0.0,0.139,70,BBC
70,0.0,Wed Oct 03 15:58:03 +0000 2018,1.0,0.0,0.0,71,BBC
71,0.0,Wed Oct 03 13:04:03 +0000 2018,1.0,0.0,0.0,72,BBC
72,0.0343,Wed Oct 03 11:57:04 +0000 2018,0.675,0.159,0.166,73,BBC
73,0.2732,Wed Oct 03 11:01:02 +0000 2018,0.89,0.0,0.11,74,BBC
74,-0.5574,Wed Oct 03 08:02:04 +0000 2018,0.753,0.247,0.0,75,BBC
75,0.0,Wed Oct 03 08:01:24 +0000 2018,1.0,0.0,0.0,76,BBC
76,-0.6124,Wed Oct 03 07:04:08 +0000 2018,0.808,0.192,0.0,77,BBC
77,0.0,Wed Oct 03 06:08:02 +0000 2018,1.0,0.0,0.0,78,BBC
78,0.0,Tue Oct 02 19:02:07 +0000 2018,1.0,0.0,0.0,79,BBC
79,-0.802,Tue Oct 02 17:55:03 +0000 2018,0.573,0.427,0.0,80,BBC
80,0.4019,Tue Oct 02 17:06:06 +0000 2018,0.803,0.0,0.197,81,BBC
81,0.5574,Tue Oct 02 16:06:02 +0000 2018,0.816,0.0,0.184,82,BBC
82,-0.2732,Tue Oct 02 14:06:04 +0000 2018,0.554,0.242,0.204,83,BBC
83,0.5994,Tue Oct 02 13:05:03 +0000 2018,0.795,0.0,0.205,84,BBC
84,0.0,Tue Oct 02 12:05:04 +0000 2018,1.0,0.0,0.0,85,BBC
85,0.5719,Tue Oct 02 10:47:27 +0000 2018,0.829,0.0,0.171,86,BBC
86,0.0,Tue Oct 02 10:27:17 +0000 2018,1.0,0.0,0.0,87,BBC
87,0.6696,Tue Oct 02 10:16:58 +0000 2018,0.728,0.0,0.272,88,BBC
88,-0.6705,Tue Oct 02 09:22:00 +0000 2018,0.769,0.231,0.0,89,BBC
89,0.0,Tue Oct 02 09:10:44 +0000 2018,1.0,0.0,0.0,90,BBC
90,-0.7964,Tue Oct 02 08:00:09 +0000 2018,0.679,0.321,0.0,91,BBC
91,0.0,Tue Oct 02 07:05:06 +0000 2018,1.0,0.0,0.0,92,BBC
92,-0.6486,Tue Oct 02 06:09:05 +0000 2018,0.798,0.202,0.0,93,BBC
93,-0.128,Mon Oct 01 19:00:01 +0000 2018,0.919,0.081,0.0,94,BBC
94,0.0,Mon Oct 01 17:16:04 +0000 2018,1.0,0.0,0.0,95,BBC
95,0.7506,Mon Oct 01 16:05:44 +0000 2018,0.738,0.0,0.262,96,BBC
96,0.0,Mon Oct 01 15:48:02 +0000 2018,1.0,0.0,0.0,97,BBC
97,0.0,Mon Oct 01 15:00:02 +0000 2018,1.0,0.0,0.0,98,BBC
98,0.0,Mon Oct 01 14:01:07 +0000 2018,1.0,0.0,0.0,99,BBC
99,0.0,Mon Oct 01 13:04:26 +0000 2018,1.0,0.0,0.0,100,BBC
